Designator;Center-X(mm);Center-Y(mm);Layer;Rotation
BOOT;49.9460;19.7640;TopLayer;180
C1;59.4000;38.2750;TopLayer;0
C2;54.2500;30.1500;TopLayer;90
C3;49.9500;26.5800;TopLayer;270
C4;52.1000;26.5800;TopLayer;270
C5;49.9500;30.1500;TopLayer;270
C6;64.3500;57.0000;BottomLayer;270
C7;61.3000;57.0000;BottomLayer;270
C8;58.2500;57.0000;BottomLayer;270
C9;55.2000;57.0000;BottomLayer;270
C10;42.5500;37.7500;TopLayer;180
C11;42.5500;35.6000;TopLayer;180
C12;42.5500;33.4500;TopLayer;180
C15;16.3500;7.7000;TopLayer;180
C16;24.0000;7.7000;TopLayer;180
C17;52.1500;57.0000;BottomLayer;270
C18;49.1000;57.0000;BottomLayer;270
C19;46.0500;57.0000;BottomLayer;270
C20;43.0000;57.0000;BottomLayer;270
C21;42.5500;42.3501;TopLayer;180
C24;24.6250;66.2000;BottomLayer;180
C25;24.6293;66.2000;TopLayer;180
C26;59.1500;34.2500;TopLayer;180
C27;42.3520;28.1500;BottomLayer;0
C28;59.1500;31.9500;BottomLayer;180
C29;59.1500;29.6500;BottomLayer;180
C30;19.2960;66.2000;TopLayer;0
C31;29.9627;66.2000;TopLayer;0
C32;60.8500;78.8000;BottomLayer;270
C33;35.2960;45.0333;TopLayer;180
C34;19.2960;48.9167;TopLayer;0
C35;59.5750;38.2750;BottomLayer;180
C36;27.2960;52.8000;TopLayer;0
C37;71.4000;80.2000;BottomLayer;180
C38;47.9750;68.6500;BottomLayer;90
C39;42.6250;68.5750;BottomLayer;270
C40;17.6750;45.0250;BottomLayer;0
D1;57.9000;78.8000;BottomLayer;90
D2;42.3520;30.5500;BottomLayer;180
D3;59.1500;27.3500;BottomLayer;0
D4;27.2980;71.6620;TopLayer;180
F1;19.2960;71.7890;TopLayer;0
IC1;54.0525;76.4000;TopLayer;270
IC2;53.9525;68.6000;TopLayer;270
IC3;50.7500;38.3500;TopLayer;90
IC4;27.2960;60.1140;TopLayer;270
IC5;51.4050;49.6000;TopLayer;270
IC6;45.3000;68.6000;TopLayer;90
IC7;27.2380;36.9200;TopLayer;180
IC8;27.2380;30.8600;TopLayer;180
IC9;27.1193;45.5570;TopLayer;180
IC10;27.2380;24.8000;TopLayer;180
IO2;64.2500;50.6000;TopLayer;180
IO12;64.2500;46.9500;TopLayer;90
IO27;64.2500;43.3000;TopLayer;90
J1;68.9780;79.7875;TopLayer;180
J2;51.8000;9.6000;TopLayer;90
J3;9.8500;69.9500;TopLayer;0
J4;30.8450;79.3800;TopLayer;180
J5;9.8500;34.0500;TopLayer;0
J6;75.1000;42.3000;TopLayer;180
L1;52.1000;30.1500;TopLayer;90
